#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 512 10 64 784.013117 1514633731774885674 1514633733657489147 6.937712
#Experience summarry : avg : 784.013117 :: std : 6.937712 :: min : 772.596265 :: max : 792.916738 :: median : 787.990675

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 576 10 64 689.799291 1514634825755389378 1514634827852775296 8.038443
#Experience summarry : avg : 689.799291 :: std : 8.038443 :: min : 676.839379 :: max : 703.113164 :: median : 688.467718

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 640 10 64 662.262315 1514634907781769916 1514634909970176882 11.629929
#Experience summarry : avg : 662.262315 :: std : 11.629929 :: min : 641.870778 :: max : 685.220712 :: median : 661.364722

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 704 10 64 638.802677 1514634991038730130 1514634993352827520 6.422979
#Experience summarry : avg : 638.802677 :: std : 6.422979 :: min : 627.705119 :: max : 649.726865 :: median : 638.438205

